Ticker,Date,Open,High,Low,Close,Adj Close,Volume
RELIANCE.NS,04-10-2019,1206.827759,1214.782471,1192.15271,1196.038574,1175.039429,7496126
RELIANCE.NS,07-10-2019,1196.038574,1207.650635,1190.18689,1197.86731,1176.836182,5030792
RELIANCE.NS,09-10-2019,1196.58728,1216.016846,1181.775024,1211.262207,1189.99585,8794323
RELIANCE.NS,10-10-2019,1211.490845,1251.721436,1207.833496,1246.006958,1224.130615,17503195
RELIANCE.NS,11-10-2019,1246.875488,1248.612793,1222.051392,1236.72644,1215.012939,8298563
RELIANCE.NS,14-10-2019,1248.018433,1248.018433,1235.126343,1241.663818,1219.863647,6697137
RELIANCE.NS,15-10-2019,1245.77832,1252.635864,1238.280762,1247.286987,1225.388062,4836395
RELIANCE.NS,16-10-2019,1252.544434,1261.459106,1246.875488,1254.784546,1232.75415,9701830
RELIANCE.NS,17-10-2019,1257.20752,1279.151489,1254.464478,1276.865601,1254.447266,8019470
RELIANCE.NS,18-10-2019,1283.723145,1305.575684,1278.877197,1295.015137,1272.27832,14060975
RELIANCE.NS,22-10-2019,1302.924072,1313.758911,1283.128784,1293.003662,1270.302246,13893251
RELIANCE.NS,23-10-2019,1294.969482,1303.792725,1264.659302,1273.116821,1250.764526,9223080
RELIANCE.NS,24-10-2019,1280.980103,1317.919189,1267.768066,1313.393188,1290.333618,11321244
RELIANCE.NS,25-10-2019,1317.644897,1317.964844,1290.352051,1308.593018,1285.617676,6769978
RELIANCE.NS,27-10-2019,1317.553467,1321.210815,1307.495728,1311.381714,1288.357422,1507420
RELIANCE.NS,29-10-2019,1321.667969,1353.212402,1318.559204,1341.371826,1317.821045,12884252
RELIANCE.NS,30-10-2019,1353.212402,1357.372681,1335.200073,1352.389526,1328.645386,8170683
RELIANCE.NS,31-10-2019,1356.869751,1362.035767,1336.480103,1338.903076,1315.395752,9731870
RELIANCE.NS,01-11-2019,1330.354126,1336.571533,1317.553467,1332.091309,1308.703491,6952150
RELIANCE.NS,04-11-2019,1340.320313,1344.983398,1321.302246,1332.7771,1309.377197,7031717
RELIANCE.NS,05-11-2019,1337.760254,1343.109009,1317.553467,1323.313721,1300.079956,6342678
RELIANCE.NS,06-11-2019,1319.107788,1322.536499,1306.124268,1311.975952,1288.941284,7312752
RELIANCE.NS,07-11-2019,1312.067505,1337.668701,1309.507324,1333.645752,1310.230591,7042019
RELIANCE.NS,08-11-2019,1324.868164,1334.605713,1317.827759,1321.667969,1298.463135,6009676
RELIANCE.NS,11-11-2019,1315.816162,1320.525024,1300.68396,1305.484253,1282.563599,5678920
RELIANCE.NS,13-11-2019,1307.495728,1349.463623,1307.495728,1346.171997,1322.537109,12612874
RELIANCE.NS,14-11-2019,1349.555054,1354.675293,1331.085571,1337.440186,1313.958496,7129066
RELIANCE.NS,15-11-2019,1340.091797,1359.429932,1337.805908,1344.846313,1321.234619,7845802
RELIANCE.NS,18-11-2019,1346.492065,1358.698364,1330.719849,1334.194336,1310.769531,7038025
RELIANCE.NS,19-11-2019,1341.32605,1385.122681,1339.497437,1380.413818,1356.17749,15088127
RELIANCE.NS,20-11-2019,1421.83313,1437.696777,1410.998291,1415.067017,1390.22229,21769060
RELIANCE.NS,21-11-2019,1412.644043,1422.70166,1397.603271,1405.87793,1381.19458,7448685
RELIANCE.NS,22-11-2019,1409.992432,1435.045166,1405.87793,1414.015503,1389.189331,11176432
RELIANCE.NS,25-11-2019,1418.267212,1430.747803,1418.130005,1427.776245,1402.708496,7573078
RELIANCE.NS,26-11-2019,1433.765137,1441.30835,1422.70166,1426.587646,1401.540771,17665491
RELIANCE.NS,27-11-2019,1426.313354,1440.53125,1422.793091,1435.365234,1410.164185,4821369
RELIANCE.NS,28-11-2019,1437.925293,1448.440186,1429.970703,1444.920044,1419.55127,6873739
